JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
Manager,Male,52,1,High School,Management,1,110078,1703
Sales Associate,Male,62,1,Masters,Administration,2,102593,1823
Marketing Associate,Female,65,1,Masters,Administration,1,80789,1884
IT,Female,59,1,College,Sales,3,110627,2041
IT,Female,65,1,Masters,Administration,1,106945,2041
Warehouse Associate,Male,65,1,High School,Operations,2,107479,2051
IT,Male,64,1,Masters,Sales,1,92950,2125
Software Engineer,Male,64,1,Masters,Sales,1,109606,2193
Software Engineer,Male,62,1,High School,Sales,3,124660,2200
Financial Analyst,Male,65,2,High School,Administration,1,97376,2225
Financial Analyst,Male,60,1,PhD,Sales,2,123108,2244
Financial Analyst,Female,62,1,High School,Operations,3,101515,2251
Software Engineer,Female,57,1,College,Engineering,3,117131,2324
Sales Associate,Male,56,1,High School,Management,1,88195,2375
Data Scientist,Male,56,1,Masters,Administration,2,95798,2530
IT,Male,51,1,High School,Engineering,3,89272,2600
Sales Associate,Male,56,1,High School,Operations,1,82164,2611
Financial Analyst,Female,65,1,High School,Administration,2,96665,2645
Marketing Associate,Female,59,1,College,Engineering,1,62738,2656
Driver,Female,63,1,Masters,Management,4,115981,2661
Manager,Male,55,1,High School,Administration,1,120574,2683
Financial Analyst,Male,48,1,High School,Operations,1,92347,2724
IT,Male,50,1,College,Operations,3,85648,2728
Marketing Associate,Female,59,1,Masters,Sales,3,93018,2730
IT,Female,53,1,High School,Administration,2,112169,2763
Marketing Associate,Female,64,1,PhD,Administration,2,85253,2777
Software Engineer,Male,62,1,High School,Management,3,119069,2788
Manager,Female,55,1,High School,Administration,3,135638,2824
Software Engineer,Male,59,1,College,Sales,5,160460,2930
Financial Analyst,Female,54,1,Masters,Operations,2,90999,2963
IT,Male,62,1,PhD,Management,2,105771,2978
Financial Analyst,Female,61,1,Masters,Engineering,4,139042,2982
Marketing Associate,Female,46,1,College,Administration,1,54945,2991
Marketing Associate,Female,59,1,High School,Operations,3,98796,3042
Graphic Designer,Male,58,2,Masters,Operations,1,96609,3044
Financial Analyst,Female,49,1,PhD,Engineering,1,67089,3078
Data Scientist,Female,65,1,PhD,Operations,2,121239,3078
Software Engineer,Male,60,1,High School,Administration,3,106045,3079
Data Scientist,Male,54,1,College,Sales,2,97311,3083
IT,Female,44,1,High School,Sales,5,131411,3084
IT,Female,58,2,High School,Sales,4,124847,3100
Marketing Associate,Female,64,1,College,Administration,5,107572,3107
Data Scientist,Male,57,1,Masters,Sales,3,106918,3180
IT,Male,55,2,Masters,Operations,1,91447,3196
IT,Male,31,1,Masters,Sales,2,93358,3223
Sales Associate,Male,54,1,College,Administration,3,92468,3242
Data Scientist,Male,65,2,Masters,Sales,2,128730,3247
Driver,Female,45,1,College,Sales,2,67150,3255
Marketing Associate,Female,38,1,PhD,Engineering,1,53839,3270
Marketing Associate,Female,61,1,High School,Administration,1,62644,3270
Financial Analyst,Male,29,1,Masters,Operations,2,84725,3274
Graphic Designer,Female,61,1,Masters,Engineering,1,91030,3318
Data Scientist,Male,62,1,PhD,Administration,3,123333,3353
Sales Associate,Male,60,1,College,Operations,3,112604,3366
Software Engineer,Male,62,1,High School,Sales,3,132815,3367
Software Engineer,Male,36,1,Masters,Operations,1,86375,3368
Driver,Male,64,2,Masters,Operations,2,112719,3382
Data Scientist,Female,58,1,High School,Sales,5,141005,3384
Financial Analyst,Male,64,3,High School,Administration,3,124151,3392
Sales Associate,Male,57,1,PhD,Administration,5,113031,3409
Manager,Male,30,1,High School,Sales,5,138163,3415
Financial Analyst,Male,64,1,PhD,Operations,5,141186,3415
Graphic Designer,Female,63,1,College,Administration,2,81545,3418
Driver,Male,65,1,High School,Operations,5,116803,3431
Manager,Male,52,2,High School,Operations,2,114943,3438
Sales Associate,Female,58,1,College,Operations,3,86795,3453
Warehouse Associate,Male,53,1,College,Operations,4,126256,3463
Data Scientist,Male,45,1,Masters,Operations,3,104290,3474
Software Engineer,Male,37,1,High School,Sales,1,81547,3510
Software Engineer,Male,29,1,High School,Sales,1,86650,3518
Graphic Designer,Female,33,1,High School,Sales,1,63914,3521
IT,Male,36,1,High School,Sales,4,109832,3528
Graphic Designer,Female,44,1,College,Sales,3,90474,3530
Driver,Female,51,1,PhD,Management,2,97789,3536
Data Scientist,Male,57,1,Masters,Sales,2,108977,3567
Financial Analyst,Female,49,2,College,Operations,1,92891,3578
Data Scientist,Male,37,1,PhD,Administration,2,78836,3588
Data Scientist,Male,61,1,Masters,Administration,5,122352,3590
Software Engineer,Male,51,1,College,Management,2,118282,3599
Manager,Female,59,2,High School,Management,2,136215,3603
Graphic Designer,Female,44,1,Masters,Administration,2,72248,3634
Sales Associate,Female,57,1,Masters,Operations,3,101423,3641
Driver,Female,65,1,PhD,Operations,3,124530,3647
Graphic Designer,Male,53,2,High School,Operations,4,107065,3652
Sales Associate,Female,61,2,High School,Sales,2,83308,3653
Financial Analyst,Female,47,1,College,Operations,2,63300,3655
Manager,Male,36,1,High School,Operations,2,115742,3661
