JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus
Data Scientist,Male,27,2,College,Engineering,1,57915,4584
Data Scientist,Female,29,4,College,Operations,1,59458,7939
Data Scientist,Male,31,3,College,Operations,1,75227,6027
Data Scientist,Female,33,3,College,Sales,1,73798,6224
Data Scientist,Male,54,1,College,Sales,2,97311,3083
Data Scientist,Male,30,2,College,Operations,3,72497,6452
Data Scientist,Female,46,3,College,Administration,3,107476,6182
Data Scientist,Female,48,2,College,Administration,3,79765,5329
Data Scientist,Female,49,5,College,Operations,3,71193,8331
Data Scientist,Male,49,3,College,Administration,3,93320,7236
Data Scientist,Male,62,4,College,Operations,3,93742,6580
Data Scientist,Female,24,4,College,Administration,4,71105,8623
Data Scientist,Female,32,4,College,Management,4,78623,9012
Data Scientist,Female,49,3,College,Engineering,4,125770,7301
Data Scientist,Female,30,5,College,Engineering,5,92067,9838
Data Scientist,Male,35,2,College,Operations,5,98959,6572
Data Scientist,Female,37,2,College,Sales,5,97846,7198
Data Scientist,Male,38,5,College,Administration,5,101173,9255
Data Scientist,Male,41,1,College,Operations,5,77839,4458
Data Scientist,Female,56,1,College,Engineering,5,125828,3961
Driver,Male,25,3,College,Engineering,1,43076,5829
Driver,Female,35,5,College,Management,1,72038,9031
Driver,Female,51,5,College,Operations,1,72827,7285
Driver,Male,57,5,College,Management,1,68403,6893
Driver,Female,19,2,College,Sales,2,79291,5000
Driver,Male,40,5,College,Management,2,97414,8833
Driver,Male,40,5,College,Engineering,2,68797,7817
Driver,Female,45,1,College,Sales,2,67150,3255
Driver,Female,50,3,College,Operations,2,91160,5863
Driver,Female,52,4,College,Administration,2,78750,6666
Driver,Female,54,4,College,Management,2,87998,7028
Driver,Male,55,2,College,Administration,2,103328,4543
Driver,Female,18,5,College,Management,3,62759,10124
Driver,Female,20,1,College,Management,3,66203,5627
Driver,Male,24,2,College,Engineering,3,81301,5713
Driver,Male,24,2,College,Management,3,51906,6274
Driver,Male,37,4,College,Engineering,3,70088,8244
Driver,Male,59,3,College,Operations,3,120159,4265
Driver,Male,31,5,College,Management,4,82832,9958
Driver,Male,57,4,College,Sales,4,135781,6042
Driver,Male,58,2,College,Sales,4,110157,4275
Driver,Female,61,2,College,Management,4,108475,4489
Driver,Female,61,2,College,Administration,4,114436,4249
Driver,Female,21,2,College,Engineering,5,92458,6966
Driver,Male,27,3,College,Engineering,5,89678,7778
Driver,Male,34,4,College,Administration,5,90330,7022
Driver,Male,49,4,College,Sales,5,104657,6839
Financial Analyst,Female,39,5,College,Operations,1,76773,7278
Financial Analyst,Male,39,2,College,Sales,1,61609,3738
Financial Analyst,Female,49,2,College,Operations,1,92891,3578
Financial Analyst,Male,55,3,College,Operations,1,84683,4476
Financial Analyst,Female,20,1,College,Management,2,76908,4756
Financial Analyst,Female,26,3,College,Administration,2,48570,6604
Financial Analyst,Female,36,3,College,Engineering,2,65750,6177
Financial Analyst,Male,47,5,College,Administration,2,64852,8023
Financial Analyst,Female,47,1,College,Operations,2,63300,3655
Financial Analyst,Female,54,2,College,Sales,2,114171,3768
Financial Analyst,Female,63,3,College,Sales,2,95795,5723
Financial Analyst,Female,19,5,College,Sales,3,84007,8990
Financial Analyst,Male,47,5,College,Operations,3,91905,7614
Financial Analyst,Male,26,5,College,Engineering,4,106194,9421
