JobTitle,Gender,Age,PerfEval,Education,Dept,Seniority,BasePay,Bonus,Category
Data Scientist,Female,58,1,High School,Sales,5,141005,3384,Tech
Data Scientist,Female,51,1,PhD,Sales,5,139141,4969,Tech
Data Scientist,Female,55,2,Masters,Sales,5,138365,5359,Tech
Data Scientist,Male,65,2,Masters,Sales,2,128730,3247,Tech
Data Scientist,Female,56,1,College,Engineering,5,125828,3961,Tech
Data Scientist,Male,58,1,PhD,Engineering,5,124166,3875,Tech
Data Scientist,Male,62,1,PhD,Administration,3,123333,3353,Tech
Data Scientist,Female,55,3,Masters,Administration,4,123172,5797,Tech
Data Scientist,Male,61,1,Masters,Administration,5,122352,3590,Tech
Data Scientist,Female,58,1,PhD,Management,4,121457,4723,Tech
Data Scientist,Female,65,1,PhD,Operations,2,121239,3078,Tech
Data Scientist,Male,41,1,High School,Management,5,117215,4322,Tech
Data Scientist,Female,63,2,High School,Administration,5,115641,4339,Tech
Data Scientist,Female,57,1,PhD,Operations,2,114141,3746,Tech
Data Scientist,Female,57,3,Masters,Operations,3,113274,6186,Tech
Data Scientist,Male,57,1,Masters,Sales,2,108977,3567,Tech
Data Scientist,Male,62,3,PhD,Sales,3,108778,4357,Tech
Data Scientist,Female,55,3,PhD,Administration,1,108366,5108,Tech
Data Scientist,Female,58,2,PhD,Engineering,2,108296,4708,Tech
Data Scientist,Male,43,1,PhD,Administration,4,107640,3896,Tech
Data Scientist,Female,46,3,College,Administration,3,107476,6182,Tech
Data Scientist,Male,57,1,Masters,Sales,3,106918,3180,Tech
Data Scientist,Female,43,2,PhD,Sales,3,106452,5346,Tech
Data Scientist,Male,45,1,Masters,Operations,3,104290,3474,Tech
Data Scientist,Female,53,2,PhD,Operations,2,102265,4760,Tech
Data Scientist,Male,62,3,High School,Operations,2,101284,4993,Tech
Data Scientist,Female,40,1,Masters,Management,5,100505,4626,Tech
Data Scientist,Female,41,2,PhD,Engineering,2,98366,6398,Tech
Data Scientist,Male,56,3,Masters,Engineering,3,98165,5470,Tech
Data Scientist,Male,54,1,College,Sales,2,97311,3083,Tech
Data Scientist,Female,27,1,High School,Administration,5,96584,5293,Tech
Data Scientist,Male,59,4,Masters,Sales,1,96582,6350,Tech
Data Scientist,Male,56,1,Masters,Administration,2,95798,2530,Tech
Data Scientist,Male,26,1,Masters,Operations,3,90526,4191,Tech
Data Scientist,Male,40,2,Masters,Management,2,87682,4152,Tech
Data Scientist,Female,64,2,High School,Sales,1,87314,3688,Tech
Data Scientist,Female,53,2,Masters,Engineering,2,84764,4409,Tech
Data Scientist,Male,44,3,High School,Sales,1,83674,4854,Tech
Data Scientist,Male,28,3,Masters,Sales,3,82850,5794,Tech
Data Scientist,Male,19,2,PhD,Management,5,80171,6454,Tech
Data Scientist,Female,48,2,College,Administration,3,79765,5329,Tech
Data Scientist,Female,33,2,High School,Operations,4,78910,5927,Tech
Data Scientist,Male,37,1,PhD,Administration,2,78836,3588,Tech
Data Scientist,Male,41,1,College,Operations,5,77839,4458,Tech
Data Scientist,Male,31,3,College,Operations,1,75227,6027,Tech
Data Scientist,Female,33,3,College,Sales,1,73798,6224,Tech
Data Scientist,Male,30,2,College,Operations,3,72497,6452,Tech
Data Scientist,Female,33,3,High School,Administration,3,71946,6386,Tech
Data Scientist,Male,20,1,High School,Operations,2,61589,3990,Tech
Data Scientist,Male,27,2,College,Engineering,1,57915,4584,Tech
Data Scientist,Male,33,2,High School,Engineering,2,53855,4980,Tech
Driver,Male,57,4,College,Sales,4,135781,6042,Other
Driver,Male,53,1,Masters,Engineering,5,130082,4734,Other
Driver,Male,63,3,PhD,Management,4,128520,6151,Other
Driver,Female,65,1,PhD,Operations,3,124530,3647,Other
Driver,Male,59,3,College,Operations,3,120159,4265,Other
Driver,Female,42,1,Masters,Sales,5,120112,5070,Other
Driver,Male,54,3,PhD,Sales,2,118093,4115,Other
Driver,Male,65,1,High School,Operations,5,116803,3431,Other
Driver,Female,63,1,Masters,Management,4,115981,2661,Other
Driver,Female,61,2,College,Administration,4,114436,4249,Other
Driver,Female,60,2,PhD,Sales,3,113140,4079,Other
Driver,Male,64,2,Masters,Operations,2,112719,3382,Other
Driver,Male,42,3,PhD,Operations,4,111726,5989,Other
Driver,Male,53,3,PhD,Administration,3,111043,5838,Other
Driver,Male,58,2,College,Sales,4,110157,4275,Other
Driver,Female,61,2,College,Management,4,108475,4489,Other
Driver,Female,61,2,PhD,Engineering,2,107064,4202,Other
Driver,Female,63,3,High School,Sales,1,104468,4466,Other
Driver,Male,55,2,College,Administration,2,103328,4543,Other
Driver,Female,55,2,High School,Engineering,3,103242,4495,Other
Driver,Male,63,4,High School,Sales,2,101716,5881,Other
Driver,Male,53,3,PhD,Sales,2,100941,5992,Other
Driver,Female,55,3,PhD,Operations,2,100433,5090,Other
Driver,Female,51,1,PhD,Management,2,97789,3536,Other
Driver,Male,55,2,Masters,Operations,3,95898,4309,Other
Driver,Male,41,2,Masters,Administration,4,95795,4898,Other
Driver,Male,35,2,High School,Administration,5,92760,4826,Other
Driver,Female,50,3,College,Operations,2,91160,5863,Other
Driver,Female,62,4,PhD,Engineering,1,88781,6413,Other
Driver,Male,40,3,High School,Sales,2,88230,5512,Other
Driver,Female,36,1,Masters,Administration,3,88175,5004,Other
Driver,Female,50,3,High School,Engineering,2,86122,6295,Other
Driver,Male,24,2,College,Engineering,3,81301,5713,Other
Driver,Female,19,2,College,Sales,2,79291,5000,Other
Driver,Female,52,4,High School,Operations,1,78751,6258,Other
Driver,Female,47,2,Masters,Operations,2,78002,5175,Other
Driver,Female,19,1,High School,Operations,4,75919,5613,Other
Driver,Female,18,2,Masters,Sales,4,71824,6397,Other
Driver,Male,32,3,Masters,Engineering,2,69367,6378,Other
Driver,Male,20,2,High School,Sales,2,68175,5698,Other
Driver,Female,34,2,High School,Management,3,67210,5662,Other
Driver,Female,45,1,College,Sales,2,67150,3255,Other
Driver,Female,20,1,College,Management,3,66203,5627,Other
Driver,Male,31,2,High School,Administration,4,62753,5735,Other
Driver,Male,21,1,High School,Sales,2,61018,5513,Other
Driver,Female,22,1,High School,Administration,1,60026,4605,Other
Driver,Male,33,1,High School,Management,1,59493,3955,Other
Driver,Male,24,2,College,Management,3,51906,6274,Other
Driver,Male,25,3,College,Engineering,1,43076,5829,Other
Financial Analyst,Male,64,1,PhD,Operations,5,141186,3415,Business
Financial Analyst,Female,61,1,Masters,Engineering,4,139042,2982,Business
Financial Analyst,Female,63,3,PhD,Engineering,3,129683,5754,Business
Financial Analyst,Male,58,4,College,Operations,4,126269,6490,Business
Financial Analyst,Male,64,3,High School,Administration,3,124151,3392,Business
Financial Analyst,Male,60,1,PhD,Sales,2,123108,2244,Business
Financial Analyst,Female,45,2,Masters,Administration,5,122142,5435,Business
Financial Analyst,Female,48,1,College,Engineering,5,119058,4037,Business
Financial Analyst,Male,39,3,Masters,Engineering,4,116875,5479,Business
Financial Analyst,Female,43,3,College,Sales,5,116069,6432,Business
Financial Analyst,Male,50,2,Masters,Operations,3,115613,3881,Business
Financial Analyst,Female,54,2,College,Sales,2,114171,3768,Business
Financial Analyst,Female,48,1,College,Administration,4,114031,4510,Business
Financial Analyst,Male,65,4,Masters,Sales,1,111403,5078,Business
Financial Analyst,Male,43,1,PhD,Sales,4,108719,4143,Business
Financial Analyst,Male,20,2,PhD,Engineering,4,105601,5943,Business
Financial Analyst,Male,58,4,Masters,Operations,3,104744,6425,Business
Financial Analyst,Female,62,1,High School,Operations,3,101515,2251,Business
Financial Analyst,Male,56,4,High School,Engineering,3,100769,6453,Business
Financial Analyst,Male,39,1,College,Engineering,4,99643,3789,Business
Financial Analyst,Male,27,2,PhD,Administration,4,99134,6255,Business
Financial Analyst,Female,58,3,PhD,Engineering,1,98512,4548,Business
Financial Analyst,Female,63,4,Masters,Operations,1,97797,5239,Business
Financial Analyst,Male,65,2,High School,Administration,1,97376,2225,Business
Financial Analyst,Female,65,1,High School,Administration,2,96665,2645,Business
Financial Analyst,Female,63,3,College,Sales,2,95795,5723,Business
Financial Analyst,Female,50,3,PhD,Operations,2,94590,5327,Business
Financial Analyst,Female,53,3,High School,Management,1,93696,5029,Business
Financial Analyst,Male,36,3,PhD,Operations,1,93067,5103,Business
Financial Analyst,Female,49,2,College,Operations,1,92891,3578,Business
Financial Analyst,Male,48,1,High School,Operations,1,92347,2724,Business
Financial Analyst,Female,41,2,PhD,Operations,3,91129,4825,Business
Financial Analyst,Female,54,1,Masters,Operations,2,90999,2963,Business
Financial Analyst,Male,40,3,PhD,Sales,3,88725,6243,Business
Financial Analyst,Male,45,2,High School,Administration,2,85947,3909,Business
Financial Analyst,Male,29,1,Masters,Operations,2,84725,3274,Business
Financial Analyst,Male,55,3,College,Operations,1,84683,4476,Business
Financial Analyst,Male,38,3,Masters,Administration,1,84628,5680,Business
Financial Analyst,Female,32,1,High School,Administration,4,84047,4683,Business
Financial Analyst,Male,31,2,PhD,Administration,3,82790,5826,Business
Financial Analyst,Female,24,1,High School,Management,4,80030,5481,Business
Financial Analyst,Male,31,3,PhD,Engineering,1,79142,5445,Business
Financial Analyst,Female,23,1,High School,Management,4,78084,5598,Business
Financial Analyst,Female,20,1,College,Management,2,76908,4756,Business
Financial Analyst,Male,45,4,High School,Operations,2,75397,6490,Business
Financial Analyst,Male,24,2,PhD,Engineering,3,71590,5845,Business
Financial Analyst,Male,47,2,High School,Management,1,68643,4674,Business
Financial Analyst,Female,49,1,PhD,Engineering,1,67089,3078,Business
Financial Analyst,Female,36,3,College,Engineering,2,65750,6177,Business
Financial Analyst,Female,47,1,College,Operations,2,63300,3655,Business
Financial Analyst,Male,39,2,College,Sales,1,61609,3738,Business
Financial Analyst,Female,33,2,PhD,Administration,1,50758,5386,Business
Graphic Designer,Male,59,1,PhD,Sales,4,135512,3955,Art
Graphic Designer,Female,57,2,Masters,Sales,5,133741,4925,Art
Graphic Designer,Male,49,3,Masters,Operations,5,126100,6336,Art
Graphic Designer,Female,59,2,College,Engineering,4,115344,4827,Art
Graphic Designer,Male,56,2,Masters,Management,4,114048,5097,Art
Graphic Designer,Female,48,1,High School,Operations,5,113465,3846,Art
